subject,session_index,rep,H.percent,UD.percent.e,DD.percent.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
kasia,4,1,0.05612,0.09637,0.15249,0.07581,0.13618,0.21199,0.0667,0.02834,0.09604,0.08408,0.19743,0.28151,0.0659,0.24372,0.30962,0.10432,0.09543,0.19975,0.09187,0.07133,0.16415,0.07181,0.11222,0.18403,0.10797,0.10024,0.20822,0.08828,0.07133,0.15961,0.09626
kasia,4,2,0.04626,0.141,0.18826,0.06174,0.12869,0.19143,0.05905,0.04361,0.10365,0.07937,0.20033,0.2807,0.05812,0.8082,0.86764,0.0588,0.10845,0.16825,0.0631,0.06385,0.12743,0.07702,0.07079,0.14781,0.10336,0.09678,0.20105,0.05401,0.07632,0.13129,0.07872
kasia,4,3,0.09508,0.08449,0.18075,0.09356,0.15662,0.25118,0.09506,0.01941,0.11548,0.08796,0.1203,0.20827,0.10361,0.20392,0.30753,0.32869,0.12477,0.02658,0.0753,0.03687,0.13976,0.08402,0.08057,0.16459,0.08632,0.10035,0.18763,0.0622,0.0485,0.11169,0.08438
kasia,4,4,0.06662,0.11169,0.17924,0.04777,0.17214,0.21991,0.06269,0.05616,0.12034,0.0755,0.11544,0.1918,0.1116,0.41674,0.52834,0.50517,0.08843,0.03114,0.09121,0.02798,0.15134,0.07873,0.08731,0.16705,0.08325,0.09726,0.18151,0.05368,0.0367,0.0914,0.07551
kasia,4,5,0.06257,0.09684,0.16041,0.08619,0.13645,0.2236,0.06252,0.02014,0.08366,0.06688,0.1326,0.20048,0.10329,0.29725,0.40054,0.12183,0.03562,0.15846,0.08871,0.06415,0.15286,0.07635,0.09897,0.17531,0.08781,0.08797,0.17662,0.0625,0.07213,0.13562,0.09535
kasia,4,6,0.05889,0.76392,0.82282,0.04991,0.16927,0.22017,0.07554,0.02054,0.09607,0.06361,0.11621,0.17983,0.08694,0.21217,0.30012,0.12703,0.0638,0.19182,0.08476,0.0542,0.13896,0.07574,0.05989,0.13663,0.07929,0.09343,0.17272,0.04613,0.06045,0.10758,0.0678
kasia,4,7,0.04586,0.1524,0.19926,0.07553,0.1399,0.21612,0.21184,0.07195,0.01807,0.05953,0.14005,0.2196,0.09572,0.29941,0.39599,0.40744,0.10803,0.03627,0.06417,0.02697,0.12741,0.07636,0.08363,0.16096,0.08765,0.07974,0.16803,0.05832,0.03605,0.09565,0.06756
kasia,4,8,0.08218,0.04405,0.12741,0.09857,0.10193,0.20151,0.08228,0.01883,0.10245,0.06788,0.12456,0.19308,0.08384,0.29604,0.37988,0.40038,0.10434,0.02996,0.07614,0.03142,0.13932,0.07219,0.07579,0.14798,0.09594,0.08005,0.17599,0.05922,0.0361,0.09632,0.06359
kasia,4,9,0.08691,0.01987,0.10781,0.10384,0.14086,0.2447,0.20009,0.05923,0.01097,0.08024,0.16337,0.25558,0.09582,0.14373,0.24072,0.27163,0.12789,0.03284,0.06194,0.07632,0.17209,0.09579,0.0677,0.164,0.07558,0.11599,0.19157,0.07535,0.04439,0.11974,0.08742
kasia,4,10,0.07048,0.13212,0.2036,0.06672,0.13224,0.19996,0.09563,0.16025,0.25588,0.06798,0.16831,0.23629,0.0579,0.88024,0.93916,0.08799,0.04805,0.1367,0.07128,0.05245,0.12373,0.09548,0.03688,0.13299,0.08285,0.09624,0.17945,0.05989,0.04128,0.10186,0.08621
