subject,session_index,rep,H.dot,UD.dot.e,DD.dot.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
wjola,1,1,0.14771,0.05113,0.19985,0.09952,0.07559,0.17611,0.17221,0.09762,0.01412,0.05221,0.14762,0.21395,0.13879,0.46905,0.60783,0.06643,0.08441,0.15287,0.08905,0.03634,0.12638,0.09904,0.048,0.14802,0.09142,0.08799,0.18041,0.0687,0.05047,0.11917,0.08237
wjola,1,3,0.10685,0.02691,0.13476,0.07511,0.08693,0.16304,0.18045,0.09352,0.02265,0.08339,0.62487,0.73292,0.06518,0.1532,0.21939,0.23665,0.08344,0.02621,0.05994,0.04468,0.13255,0.09404,0.0724,0.16744,0.07184,0.09968,0.17152,0.07903,0.04428,0.12431,0.07906
wjola,1,4,0.0829,0.1193,0.2032,0.09566,0.13159,0.22825,0.0719,0.06077,0.13266,0.09172,0.14071,0.23243,0.09506,0.10836,0.20342,0.20811,0.09974,0.04344,0.05145,0.03612,0.13187,0.10292,0.07307,0.177,0.06301,0.07588,0.13889,0.06807,0.02777,0.09585,0.08369
wjola,1,5,0.05732,0.4655,0.52481,0.07356,0.09967,0.17424,0.19156,0.09189,0.02262,0.05262,0.16071,0.23686,0.09961,0.39654,0.49711,0.08824,0.0527,0.14293,0.10623,0.04745,0.15468,0.09354,0.12312,0.21666,0.08703,0.08829,0.17532,0.06974,0.03182,0.10357,0.08442
wjola,1,7,0.13641,0.02302,0.15943,0.11231,0.12866,0.24096,0.11467,0.01947,0.13515,0.096,0.17312,0.26913,0.09906,0.3714,0.47047,0.12327,0.01596,0.14023,0.1049,0.06331,0.16821,0.10434,0.07131,0.1766,0.08699,0.07769,0.16468,0.17622,0.09854,0.01218,0.07972
wjola,2,8,0.06048,0.06472,0.1252,0.06232,0.09191,0.15521,0.17205,0.08014,0.01185,0.04052,0.18724,0.23961,0.10338,0.18847,0.29185,0.24935,0.06088,0.0272,0.09581,0.03954,0.16354,0.10311,0.05964,0.16375,0.04705,0.08766,0.13689,0.05955,0.30415,0.3647,0.07348
wjola,2,9,0.07782,0.02389,0.10271,0.06746,0.09535,0.16358,0.1919,0.09655,0.03874,0.01938,0.18439,0.2445,0.07564,0.08863,0.16427,0.13828,0.51286,0.65207,0.07009,0.03231,0.10337,0.0887,0.07907,0.16777,0.09918,0.08082,0.18056,0.16807,0.08724,0.05475,0.05639
wjola,3,10,0.08348,0.0515,0.13603,0.09105,0.12325,0.2153,0.11564,0.26359,0.38023,0.06035,0.1006,0.16096,0.07013,0.60927,0.6804,0.05069,0.22322,0.27587,0.05148,0.05589,0.10737,0.07132,0.09886,0.17118,0.09664,0.15587,0.25347,0.08711,0.04419,0.13129,0.09185
wjola,4,11,0.07556,0.07157,0.14803,0.08697,0.08713,0.17509,0.13972,0.05258,0.03048,0.08043,0.15635,0.26806,0.10436,0.11956,0.22493,0.24336,0.1238,0.03437,0.06309,0.01502,0.11444,0.1159,0.0639,0.18075,0.06406,0.17105,0.23612,0.09985,0.10013,0.19999,0.0995
wjola,4,12,0.17617,0.55644,0.7326,0.10312,0.08694,0.19098,0.13916,0.05223,0.06767,0.03188,0.33605,0.43616,0.0946,0.13248,0.2283,0.29283,0.16036,0.03438,0.07509,0.01213,0.1226,0.11313,0.09597,0.2091,0.07481,0.09243,0.16824,0.15532,0.06289,0.02774,0.06816
wjola,5,13,0.09886,0.2406,0.34048,0.08802,0.11548,0.20351,0.19557,0.07909,0.02717,0.05253,0.20421,0.28391,0.09608,0.16347,0.25955,0.29585,0.13239,0.02013,0.08348,0.02693,0.13105,0.09299,0.06013,0.15312,0.05904,0.10786,0.16783,0.06064,0.01905,0.07969,0.09134
wjola,5,14,0.07956,0.10903,0.18859,0.07819,0.16518,0.24439,0.22432,0.05914,0.03848,0.06374,0.24413,0.348,0.10384,0.1889,0.29374,0.30688,0.11797,0.02418,0.05952,0.07624,0.15994,0.07614,0.12295,0.20008,0.06475,0.11988,0.18463,0.05396,0.10064,0.15597,0.06335
wjola,5,15,0.1069,0.07554,0.18343,0.06629,0.12372,0.19136,0.1878,0.06408,0.02792,0.03591,0.24529,0.30912,0.07814,0.20803,0.28716,0.29281,0.08479,0.01924,0.07575,0.08627,0.18337,0.05171,0.18918,0.24089,0.09729,0.09722,0.19548,0.07098,0.02371,0.09469,0.07193
