User,BackspaceCount,DeleteCount,WPM,Similarity,Diff_0,Diff_1,Diff_2,Diff_3,Diff_4,Diff_5,Diff_6,Diff_7,Diff_8,Diff_9,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Miss_0,Miss_1,Miss_2,Miss_3,Miss_4,Miss_5,Miss_6,Miss_7,Miss_8,Miss_9
martyna,1,0,33.973697398245164,0.9952380952380953,0315,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martyna,6,0,35.71464770466644,0.4057088744588745,0104,0104,0105,0124,0403,0409,0513,0519,0521,0521,0912,1215,1221,1509,1512,1518,1518,1715,1805,1821,2009,2118,2420,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-12,-12,-12,-12,-12,-12,-12,-12,-13,-13,-13,-14,-14,-14,-14,-14,-14,-14,-14,-15,-15,-15,-15,-15,-15,-15,-15,-16,-16,-17,-17,-18,-18,-18,-18,-18,-19,-19,-19,-19,-19,-20,-20,-20,-20,-20,-20,-20,-20,-21,-21,-21,-21,-21,-22,-22,-24,-24,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,16,16,17,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,24,24
martyna,0,0,36.39496828741177,0.9972222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
martyna,4,0,37.58799207951173,0.9952777777777778,0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
martyna,7,0,34.894066063990685,0.9986111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
martyna,8,0,39.149617666680726,0.985,1221,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,21,0,0,0,0,0,0,0
martyna,17,0,34.389268323274905,0.9855555555555556,0,0,0,0,0,0,0,0,0,0,-5,-14,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
martyna,13,0,36.55182899736259,0.9902777777777777,0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
martyna,2,0,36.56701017106455,0.9881944444444444,0921,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
martyna,7,0,37.69922654825484,0.9987179487179486,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,4696.234986318259,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,11858.319282194256,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,13059.9822689668,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,10282.376030229836,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,13583.07941419884,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,14045.283510285028,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,14488.847435963868,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,13363.354154903276,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,11873.070581084385,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,12307.932279652106,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
